Performed At,Exercise,Exercise#,Set#,IsPR,String,Duration,Reps,Weight
2012-07-19 11:54,Foam Rolling,1,1,0,15:00,900 sec,,
2012-07-19 11:54,Foam Rolling,1,2,0,3:00,180 sec,,
2012-07-19 11:54,Ring Dips,2,1,0,4 reps,,4,
2012-07-19 11:54,Ring Dips,2,2,0,4 reps,,4,
2012-07-19 11:54,Ring Dips,2,3,0,4 reps,,4,
2012-07-19 11:54,Chin-Up,3,1,0,1 reps,,1,
2012-07-19 11:54,Chin-Up,3,2,0,2 reps,,2,
2012-07-19 11:54,Chin-Up,3,3,0,3 reps,,3,
2012-07-19 11:54,Chin-Up,3,4,0,1 reps,,1,
2012-07-19 11:54,Chin-Up,3,5,0,2 reps,,2,
2012-07-19 11:54,Chin-Up,3,6,0,3 reps,,3,
2012-07-19 11:54,Chin-Up,3,7,0,1 reps,,1,
2012-07-19 11:54,Chin-Up,3,8,0,2 reps,,2,
2012-07-19 11:54,Chin-Up,3,9,0,3 reps,,3,
2012-07-19 11:54,Chin-Up,3,10,0,1 reps,,1,
2012-07-19 11:54,Chin-Up,3,11,0,2 reps,,2,
2012-07-19 11:54,Chin-Up,3,12,0,3 reps,,3,
2012-07-19 11:54,Goblet Squat,4,1,0,35 lbs x 5 reps,,5,35 lbs
2012-07-19 11:54,Goblet Squat,4,2,0,35 lbs x 5 reps,,5,35 lbs
2012-07-19 11:54,Goblet Squat,4,3,0,35 lbs x 5 reps,,5,35 lbs
