Performed At,Exercise,Exercise#,Set#,IsPR,String,Duration,Weight,Reps
2012-12-18 10:34,Foam Rolling,1,1,0,10:00,600 sec,,
2012-12-18 10:34,Bench Press,2,1,0,45 lbs x 5 reps,,45 lbs,5
2012-12-18 10:34,Bench Press,2,2,0,95 lbs x 5 reps,,95 lbs,5
2012-12-18 10:34,Bench Press,2,3,0,135 lbs x 5 reps,,135 lbs,5
2012-12-18 10:34,Bench Press,2,4,0,160 lbs x 5 reps,,160 lbs,5
2012-12-18 10:34,Bench Press,2,5,0,160 lbs x 5 reps,,160 lbs,5
2012-12-18 10:34,Bench Press,2,6,1,160 lbs x 5 reps,,160 lbs,5
2012-12-18 10:34,Deadlift,3,1,0,95 lbs x 5 reps,,95 lbs,5
2012-12-18 10:34,Deadlift,3,2,0,135 lbs x 5 reps,,135 lbs,5
2012-12-18 10:34,Deadlift,3,3,0,185 lbs x 5 reps,,185 lbs,5
2012-12-18 10:34,Deadlift,3,4,1,245 lbs x 5 reps,,245 lbs,5
2012-12-18 10:34,Chin-Up,4,1,0,6 reps,,,6
2012-12-18 10:34,Chin-Up,4,2,0,6 reps,,,6
2012-12-18 10:34,Chin-Up,4,3,0,6 reps,,,6
