Performed At,Exercise,Exercise#,Set#,IsPR,String,Weight,Reps,Duration
2013-09-10 10:52,Squat,1,1,0,150 lbs x 5 reps,150 lbs,5,
2013-09-10 10:52,Squat,1,2,0,195 lbs x 5 reps,195 lbs,5,
2013-09-10 10:52,Squat,1,3,0,225 lbs x 3 reps,225 lbs,3,
2013-09-10 10:52,Squat,1,4,0,245 lbs x 3 reps,245 lbs,3,
2013-09-10 10:52,Squat,1,5,0,255 lbs x 2 reps,255 lbs,2,
2013-09-10 10:52,Squat,1,6,0,255 lbs x 2 reps,255 lbs,2,
2013-09-10 10:52,Squat,1,7,0,265 lbs x 1 reps,265 lbs,1,
2013-09-10 10:52,Squat,1,8,0,265 lbs x 1 reps,265 lbs,1,
2013-09-10 10:52,Squat,1,9,0,265 lbs x 1 reps,265 lbs,1,
2013-09-10 10:52,Deadlift,2,1,0,225 lbs x 8 reps,225 lbs,8,
2013-09-10 10:52,Deadlift,2,2,0,225 lbs x 8 reps,225 lbs,8,
2013-09-10 10:52,Deadlift,2,3,1,225 lbs x 8 reps,225 lbs,8,
2013-09-10 10:52,Chin-Up,3,1,0,7 reps,,7,
2013-09-10 10:52,Chin-Up,3,2,0,7 reps,,7,
2013-09-10 10:52,Foam Rolling,4,1,0,20:00,,,1200 sec
