Performed At,Exercise,Exercise#,Set#,IsPR,String,Weight,Reps,Distance
2013-12-21 18:29,Power Clean,1,1,0,65 lbs x 5 reps,65 lbs,5,
2013-12-21 18:29,Power Clean,1,2,1,95 lbs x 5 reps,95 lbs,5,
2013-12-21 18:29,Bench Press,2,1,0,85 lbs x 5 reps,85 lbs,5,
2013-12-21 18:29,Bench Press,2,2,0,105 lbs x 5 reps,105 lbs,5,
2013-12-21 18:29,Bench Press,2,3,0,125 lbs x 3 reps,125 lbs,3,
2013-12-21 18:29,Bench Press,2,4,0,135 lbs x 5 reps,135 lbs,5,
2013-12-21 18:29,Bench Press,2,5,0,155 lbs x 5 reps,155 lbs,5,
2013-12-21 18:29,Bench Press,2,6,0,175 lbs x 9 reps,175 lbs,9,
2013-12-21 18:29,Dumbbell Row,3,1,0,75 lbs x 9 reps,75 lbs,9,
2013-12-21 18:29,Dumbbell Row,3,2,0,75 lbs x 9 reps,75 lbs,9,
2013-12-21 18:29,Dumbbell Row,3,3,0,75 lbs x 9 reps,75 lbs,9,
2013-12-21 18:29,Dumbbell Row,3,4,0,75 lbs x 9 reps,75 lbs,9,
2013-12-21 18:29,Farmer's Walk,4,1,0,135 lbs 180 ft,135 lbs,,180 ft
2013-12-21 18:29,Farmer's Walk,4,2,0,135 lbs 180 ft,135 lbs,,180 ft
2013-12-21 18:29,Farmer's Walk,4,3,0,135 lbs 180 ft,135 lbs,,180 ft
