Performed At,Exercise,Exercise#,Set#,IsPR,String,Weight,Reps
2014-02-17 09:31,Squat,1,1,0,120 lbs x 5 reps,120 lbs,5
2014-02-17 09:31,Squat,1,2,0,150 lbs x 5 reps,150 lbs,5
2014-02-17 09:31,Squat,1,3,0,180 lbs x 3 reps,180 lbs,3
2014-02-17 09:31,Squat,1,4,0,195 lbs x 3 reps,195 lbs,3
2014-02-17 09:31,Squat,1,5,0,225 lbs x 3 reps,225 lbs,3
2014-02-17 09:31,Squat,1,6,0,255 lbs x 3 reps,255 lbs,3
2014-02-17 09:31,Deadlift,2,1,0,185 lbs x 3 reps,185 lbs,3
2014-02-17 09:31,Deadlift,2,2,0,245 lbs x 3 reps,245 lbs,3
2014-02-17 09:31,Deadlift,2,3,0,280 lbs x 3 reps,280 lbs,3
2014-02-17 09:31,Deadlift,2,4,0,315 lbs x 3 reps,315 lbs,3
2014-02-17 09:31,Reverse Hyperextension,3,1,0,10 reps,,10
2014-02-17 09:31,Reverse Hyperextension,3,2,0,10 reps,,10
2014-02-17 09:31,Reverse Hyperextension,3,3,0,10 reps,,10
