Performed At,Exercise,Exercise#,Set#,IsPR,String,Reps,Weight
2014-04-14 08:11,Bodyweight Bulgarian Split Squat,1,1,0,5 reps,5,
2014-04-14 08:11,Bulgarian Split Squat,2,1,0,30 lbs x 5 reps,5,30 lbs
2014-04-14 08:11,Bulgarian Split Squat,2,2,0,60 lbs x 5 reps,5,60 lbs
2014-04-14 08:11,Bulgarian Split Squat,2,3,0,60 lbs x 5 reps,5,60 lbs
2014-04-14 08:11,Bulgarian Split Squat,2,4,0,60 lbs x 5 reps,5,60 lbs
2014-04-14 08:11,Bulgarian Split Squat,2,5,0,60 lbs x 5 reps,5,60 lbs
2014-04-14 08:11,Bench Press,3,1,0,100 lbs x 5 reps,5,100 lbs
2014-04-14 08:11,Bench Press,3,2,0,120 lbs x 5 reps,5,120 lbs
2014-04-14 08:11,Bench Press,3,3,0,145 lbs x 5 reps,5,145 lbs
2014-04-14 08:11,Bench Press,3,4,0,170 lbs x 5 reps,5,170 lbs
2014-04-14 08:11,Bench Press,3,5,1,195 lbs x 5 reps,5,195 lbs
2014-04-14 08:11,Chin-Up,4,1,0,5 reps,5,
2014-04-14 08:11,Chin-Up,4,2,0,5 reps,5,
2014-04-14 08:11,Chin-Up,4,3,0,5 reps,5,
2014-04-14 08:11,Chin-Up,4,4,0,5 reps,5,
