Performed At,Exercise,Exercise#,Set#,IsPR,String,Reps,Weight,RPE
2014-06-14 16:20,Bodyweight Bulgarian Split Squat,1,1,0,5 reps,5,,
2014-06-14 16:20,Bulgarian Split Squat,2,1,0,45 lbs x 5 reps @ 5.5,5,45 lbs,6
2014-06-14 16:20,Bulgarian Split Squat,2,2,0,65 lbs x 5 reps @ 6.5,5,65 lbs,7
2014-06-14 16:20,Bulgarian Split Squat,2,3,0,85 lbs x 5 reps @ 7.5,5,85 lbs,8
2014-06-14 16:20,Bulgarian Split Squat,2,4,0,95 lbs x 5 reps @ 8.5,5,95 lbs,9
2014-06-14 16:20,Bulgarian Split Squat,2,5,1,105 lbs x 5 reps @ 9,5,105 lbs,9
2014-06-14 16:20,Bulgarian Split Squat,2,6,0,100 lbs x 5 reps @ 8,5,100 lbs,8
2014-06-14 16:20,Bulgarian Split Squat,2,7,0,100 lbs x 5 reps @ 9,5,100 lbs,9
2014-06-14 16:20,Bench Press,3,1,0,45 lbs x 5 reps,5,45 lbs,
2014-06-14 16:20,Bench Press,3,2,0,95 lbs x 5 reps,5,95 lbs,
2014-06-14 16:20,Bench Press,3,3,0,135 lbs x 5 reps @ 7.5,5,135 lbs,8
2014-06-14 16:20,Bench Press,3,4,0,155 lbs x 5 reps @ 8.5,5,155 lbs,9
2014-06-14 16:20,Bench Press,3,5,0,165 lbs x 5 reps @ 9,5,165 lbs,9
2014-06-14 16:20,Bench Press,3,6,0,155 lbs x 5 reps @ 8.5,5,155 lbs,9
2014-06-14 16:20,Bench Press,3,7,0,155 lbs x 5 reps @ 9,5,155 lbs,9
2014-06-14 16:20,Dumbbell Row,4,1,0,85 lbs x 5 reps,5,85 lbs,
2014-06-14 16:20,Dumbbell Row,4,2,0,85 lbs x 5 reps,5,85 lbs,
2014-06-14 16:20,Dumbbell Row,4,3,0,85 lbs x 5 reps,5,85 lbs,
2014-06-14 16:20,Dumbbell Row,4,4,1,85 lbs x 5 reps,5,85 lbs,
