Performed At,Exercise,Exercise#,Set#,IsPR,String,Weight,Reps,RPE
2014-06-30 08:00,Deadlift,1,1,0,135 lbs x 3 reps,135 lbs,3,
2014-06-30 08:00,Deadlift,1,2,0,185 lbs x 3 reps,185 lbs,3,
2014-06-30 08:00,Deadlift,1,3,0,225 lbs x 3 reps @ 7,225 lbs,3,7
2014-06-30 08:00,Deadlift,1,4,0,275 lbs x 3 reps @ 8,275 lbs,3,8
2014-06-30 08:00,Deadlift,1,5,0,295 lbs x 3 reps @ 9,295 lbs,3,9
2014-06-30 08:00,Deadlift,1,6,0,275 lbs x 3 reps @ 8,275 lbs,3,8
2014-06-30 08:00,Deadlift,1,7,0,275 lbs x 3 reps @ 8.5,275 lbs,3,9
2014-06-30 08:00,Bench Press,2,1,0,45 lbs x 5 reps,45 lbs,5,
2014-06-30 08:00,Bench Press,2,2,0,95 lbs x 5 reps,95 lbs,5,
2014-06-30 08:00,Bench Press,2,3,0,135 lbs x 5 reps @ 7,135 lbs,5,7
2014-06-30 08:00,Bench Press,2,4,0,155 lbs x 5 reps @ 7,155 lbs,5,7
2014-06-30 08:00,Bench Press,2,5,0,175 lbs x 5 reps @ 8.5,175 lbs,5,9
2014-06-30 08:00,Bench Press,2,6,0,185 lbs x 5 reps @ 9.5,185 lbs,5,10
2014-06-30 08:00,Bench Press,2,7,0,175 lbs x 5 reps @ 9,175 lbs,5,9
2014-06-30 08:00,Dumbbell Row,3,1,0,85 lbs x 5 reps,85 lbs,5,
2014-06-30 08:00,Dumbbell Row,3,2,0,85 lbs x 5 reps,85 lbs,5,
2014-06-30 08:00,Dumbbell Row,3,3,0,85 lbs x 5 reps,85 lbs,5,
2014-06-30 08:00,Dumbbell Row,3,4,0,85 lbs x 5 reps,85 lbs,5,
2014-06-30 08:00,Curl,4,1,0,45 lbs x 14 reps,45 lbs,14,
2014-06-30 08:00,Curl,4,2,0,45 lbs x 8 reps,45 lbs,8,
2014-06-30 08:00,Curl,4,3,0,45 lbs x 4 reps,45 lbs,4,
