"Performed At",Exercise,Exercise#,Set#,IsPR,String,Weight,Reps,RPE
"2014-06-30 08:00",Deadlift,1,1,0,"135 lbs x 3 reps","135 lbs",3,
"2014-06-30 08:00",Deadlift,1,2,0,"185 lbs x 3 reps","185 lbs",3,
"2014-06-30 08:00",Deadlift,1,3,0,"225 lbs x 3 reps @ 7","225 lbs",3,7
"2014-06-30 08:00",Deadlift,1,4,0,"275 lbs x 3 reps @ 8","275 lbs",3,8
"2014-06-30 08:00",Deadlift,1,5,0,"295 lbs x 3 reps @ 9","295 lbs",3,9
"2014-06-30 08:00",Deadlift,1,6,0,"275 lbs x 3 reps @ 8","275 lbs",3,8
"2014-06-30 08:00",Deadlift,1,7,0,"275 lbs x 3 reps @ 8.5","275 lbs",3,9
"2014-06-30 08:00","Bench Press",2,1,0,"45 lbs x 5 reps","45 lbs",5,
"2014-06-30 08:00","Bench Press",2,2,0,"95 lbs x 5 reps","95 lbs",5,
"2014-06-30 08:00","Bench Press",2,3,0,"135 lbs x 5 reps @ 7","135 lbs",5,7
"2014-06-30 08:00","Bench Press",2,4,0,"155 lbs x 5 reps @ 7","155 lbs",5,7
"2014-06-30 08:00","Bench Press",2,5,0,"175 lbs x 5 reps @ 8.5","175 lbs",5,9
"2014-06-30 08:00","Bench Press",2,6,0,"185 lbs x 5 reps @ 9.5","185 lbs",5,10
"2014-06-30 08:00","Bench Press",2,7,0,"175 lbs x 5 reps @ 9","175 lbs",5,9
"2014-06-30 08:00","Dumbbell Row",3,1,0,"85 lbs x 5 reps","85 lbs",5,
"2014-06-30 08:00","Dumbbell Row",3,2,0,"85 lbs x 5 reps","85 lbs",5,
"2014-06-30 08:00","Dumbbell Row",3,3,0,"85 lbs x 5 reps","85 lbs",5,
"2014-06-30 08:00","Dumbbell Row",3,4,0,"85 lbs x 5 reps","85 lbs",5,
"2014-06-30 08:00",Curl,4,1,0,"45 lbs x 14 reps","45 lbs",14,
"2014-06-30 08:00",Curl,4,2,0,"45 lbs x 8 reps","45 lbs",8,
"2014-06-30 08:00",Curl,4,3,0,"45 lbs x 4 reps","45 lbs",4,
"Performed At",Exercise,Exercise#,Set#,IsPR,String,Weight,Reps,RPE
"2014-07-02 08:00","Bulgarian Split Squat",1,1,0,"45 lbs x 3 reps","45 lbs",3,
"2014-07-02 08:00","Bulgarian Split Squat",1,2,0,"75 lbs x 3 reps","75 lbs",3,
"2014-07-02 08:00","Bulgarian Split Squat",1,3,0,"95 lbs x 3 reps","95 lbs",3,
"2014-07-02 08:00","Bulgarian Split Squat",1,4,0,"115 lbs x 3 reps @ 7.5","115 lbs",3,8
"2014-07-02 08:00","Bulgarian Split Squat",1,5,0,"125 lbs x 3 reps @ 8","125 lbs",3,8
"2014-07-02 08:00","Bulgarian Split Squat",1,6,1,"135 lbs x 3 reps @ 9","135 lbs",3,9
"2014-07-02 08:00","Bulgarian Split Squat",1,7,0,"125 lbs x 3 reps @ 8.5","125 lbs",3,9
"2014-07-02 08:00","Bulgarian Split Squat",1,8,0,"125 lbs x 3 reps @ 8.5","125 lbs",3,9
"2014-07-02 08:00","Bulgarian Split Squat",1,9,0,"125 lbs x 3 reps @ 9","125 lbs",3,9
"2014-07-02 08:00","Overhead Press",2,1,0,"45 lbs x 5 reps","45 lbs",5,
"2014-07-02 08:00","Overhead Press",2,2,0,"65 lbs x 5 reps","65 lbs",5,
"2014-07-02 08:00","Overhead Press",2,3,0,"95 lbs x 5 reps @ 7","95 lbs",5,7
"2014-07-02 08:00","Overhead Press",2,4,0,"115 lbs x 5 reps @ 9","115 lbs",5,9
"2014-07-02 08:00","Overhead Press",2,5,0,"105 lbs x 5 reps @ 8.5","105 lbs",5,9
"2014-07-02 08:00","Overhead Press",2,6,0,"105 lbs x 5 reps @ 9","105 lbs",5,9
"2014-07-02 08:00","Overhead Press",2,7,0,"105 lbs x 5 reps @ 8.5","105 lbs",5,9
"2014-07-02 08:00","Overhead Press",2,8,0,"105 lbs x 5 reps @ 10","105 lbs",5,10
"2014-07-02 08:00","Weighted Chin-Up",3,1,0,"10 lbs x 5 reps","10 lbs",5,
"2014-07-02 08:00","Weighted Chin-Up",3,2,0,"10 lbs x 5 reps","10 lbs",5,
"2014-07-02 08:00","Weighted Chin-Up",3,3,0,"10 lbs x 5 reps","10 lbs",5,
"2014-07-02 08:00","Weighted Chin-Up",3,4,0,"10 lbs x 5 reps","10 lbs",5,
"Performed At",Exercise,Exercise#,Set#,IsPR,String,Weight,Reps
"2014-07-03 08:00","Two-Arm Kettlebell Swing",1,1,0,"35 lbs x 10 reps","35 lbs",10
"2014-07-03 08:00","Two-Arm Kettlebell Swing",1,2,0,"35 lbs x 10 reps","35 lbs",10
"2014-07-03 08:00","Two-Arm Kettlebell Swing",1,3,0,"35 lbs x 10 reps","35 lbs",10
"2014-07-03 08:00","Two-Arm Kettlebell Swing",1,4,0,"35 lbs x 10 reps","35 lbs",10
"2014-07-03 08:00","Two-Arm Kettlebell Swing",1,5,0,"35 lbs x 10 reps","35 lbs",10
"2014-07-03 08:00","Two-Arm Kettlebell Swing",1,6,0,"35 lbs x 10 reps","35 lbs",10
"2014-07-03 08:00","Two-Arm Kettlebell Swing",1,7,0,"35 lbs x 10 reps","35 lbs",10
"2014-07-03 08:00","Two-Arm Kettlebell Swing",1,8,0,"35 lbs x 10 reps","35 lbs",10
"2014-07-03 08:00","Two-Arm Kettlebell Swing",1,9,0,"35 lbs x 10 reps","35 lbs",10
"2014-07-03 08:00","Two-Arm Kettlebell Swing",1,10,0,"35 lbs x 10 reps","35 lbs",10
"2014-07-03 08:00","Two-Arm Kettlebell Swing",1,11,0,"35 lbs x 10 reps","35 lbs",10
"2014-07-03 08:00","Two-Arm Kettlebell Swing",1,12,0,"35 lbs x 10 reps","35 lbs",10
"2014-07-03 08:00","Two-Arm Kettlebell Swing",1,13,0,"35 lbs x 10 reps","35 lbs",10
"2014-07-03 08:00","Two-Arm Kettlebell Swing",1,14,0,"35 lbs x 10 reps","35 lbs",10
"2014-07-03 08:00","Two-Arm Kettlebell Swing",1,15,0,"35 lbs x 10 reps","35 lbs",10
"2014-07-03 08:00","Two-Arm Kettlebell Swing",1,16,0,"35 lbs x 10 reps","35 lbs",10
"Performed At",Exercise,Exercise#,Set#,IsPR,String,Weight,Reps,RPE
"2014-07-05 08:00","Bulgarian Split Squat",1,1,0,"45 lbs x 5 reps","45 lbs",5,
"2014-07-05 08:00","Bulgarian Split Squat",1,2,0,"75 lbs x 5 reps @ 7","75 lbs",5,7
"2014-07-05 08:00","Bulgarian Split Squat",1,3,0,"95 lbs x 5 reps @ 7.5","95 lbs",5,8
"2014-07-05 08:00","Bulgarian Split Squat",1,4,0,"105 lbs x 5 reps @ 8.5","105 lbs",5,9
"2014-07-05 08:00","Bulgarian Split Squat",1,5,1,"115 lbs x 5 reps @ 9.5","115 lbs",5,10
"2014-07-05 08:00","Bulgarian Split Squat",1,6,0,"105 lbs x 5 reps @ 8.5","105 lbs",5,9
"2014-07-05 08:00","Bulgarian Split Squat",1,7,0,"105 lbs x 5 reps @ 9","105 lbs",5,9
"2014-07-05 08:00","Overhead Press",2,1,0,"45 lbs x 3 reps","45 lbs",3,
"2014-07-05 08:00","Overhead Press",2,2,0,"65 lbs x 3 reps","65 lbs",3,
"2014-07-05 08:00","Overhead Press",2,3,0,"85 lbs x 3 reps","85 lbs",3,
"2014-07-05 08:00","Overhead Press",2,4,0,"105 lbs x 3 reps @ 8","105 lbs",3,8
"2014-07-05 08:00","Overhead Press",2,5,0,"115 lbs x 3 reps @ 9","115 lbs",3,9
"2014-07-05 08:00","Overhead Press",2,6,0,"110 lbs x 3 reps @ 8.5","110 lbs",3,9
"2014-07-05 08:00","Overhead Press",2,7,0,"110 lbs x 3 reps @ 8.5","110 lbs",3,9
"2014-07-05 08:00","Overhead Press",2,8,0,"110 lbs x 3 reps @ 9.5","110 lbs",3,10
"2014-07-05 08:00","Weighted Chin-Up",3,1,0,"10 lbs x 5 reps","10 lbs",5,
"2014-07-05 08:00","Weighted Chin-Up",3,2,0,"10 lbs x 5 reps","10 lbs",5,
"2014-07-05 08:00","Weighted Chin-Up",3,3,0,"10 lbs x 5 reps","10 lbs",5,
"2014-07-05 08:00","Weighted Chin-Up",3,4,0,"10 lbs x 5 reps","10 lbs",5,
"Performed At",Exercise,Exercise#,Set#,IsPR,String,Weight,Reps
"2014-06-07 10:39","Two-Arm Kettlebell Swing",1,1,0,"44 lbs x 10 reps","44 lbs",10
"2014-06-07 10:39","Two-Arm Kettlebell Swing",1,2,0,"44 lbs x 10 reps","44 lbs",10
"2014-06-07 10:39","Two-Arm Kettlebell Swing",1,3,0,"44 lbs x 10 reps","44 lbs",10
"2014-06-07 10:39","Two-Arm Kettlebell Swing",1,4,0,"44 lbs x 10 reps","44 lbs",10
"2014-06-07 10:39","Two-Arm Kettlebell Swing",1,5,0,"44 lbs x 10 reps","44 lbs",10
"2014-06-07 10:39","Two-Arm Kettlebell Swing",1,6,0,"44 lbs x 10 reps","44 lbs",10
"2014-06-07 10:39","Two-Arm Kettlebell Swing",1,7,0,"44 lbs x 10 reps","44 lbs",10
"2014-06-07 10:39","Two-Arm Kettlebell Swing",1,8,0,"44 lbs x 10 reps","44 lbs",10
"2014-06-07 10:39","Two-Arm Kettlebell Swing",1,9,0,"44 lbs x 10 reps","44 lbs",10
"2014-06-07 10:39","Two-Arm Kettlebell Swing",1,10,0,"44 lbs x 10 reps","44 lbs",10
"Performed At",Exercise,Exercise#,Set#,IsPR,String,Weight,Reps,RPE
